iter	Passed	Remaining
201	16820	66449
202	16903	66364
203	16979	66253
204	17059	66158
205	17142	66073
206	17223	65980
207	17302	65884
208	17386	65800
209	17467	65709
210	17543	65599
211	17622	65503
212	17706	65422
213	17784	65322
214	17873	65258
215	17952	65160
216	18036	65082
217	18121	65006
218	18204	64922
219	18291	64849
220	18381	64791
221	18468	64721
222	18555	64653
223	18641	64579
224	18729	64512
225	18815	64437
226	18899	64356
227	18980	64267
228	19062	64179
229	19142	64085
230	19229	64013
231	19313	63934
232	19397	63854
233	19479	63766
234	19566	63695
235	19653	63623
236	19734	63534
237	19813	63435
238	19897	63357
239	19978	63263
240	20066	63197
241	20150	63114
242	20225	63007
243	20305	62914
244	20385	62819
245	20471	62746
246	20552	62654
247	20634	62567
248	20720	62494
249	20799	62399
250	20884	62322
251	20965	62230
252	21042	62128
253	21128	62054
254	21210	61968
255	21292	61881
256	21377	61804
257	21457	61712
258	21538	61620
259	21624	61546
260	21714	61482
261	21799	61405
262	21881	61317
263	21958	61218
264	22045	61145
265	22127	61057
266	22205	60961
267	22289	60880
268	22370	60791
269	22455	60712
270	22537	60627
271	22617	60535
272	22704	60463
273	22792	60392
274	22872	60300
275	22953	60212
276	23035	60125
277	23115	60034
278	23198	59950
279	23280	59863
280	23365	59785
281	23451	59708
282	23529	59613
283	23619	59547
284	23700	59459
285	23780	59368
286	23862	59281
287	23945	59199
288	24030	59120
289	24110	59029
290	24194	58948
291	24277	58864
292	24354	58767
293	24440	58690
294	24520	58598
295	24601	58512
296	24682	58422
297	24760	58329
298	24849	58259
299	24931	58173
300	25016	58095
301	25097	58007
302	25187	57939
303	25271	57858
304	25352	57769
305	25434	57683
306	25512	57591
307	25597	57512
308	25678	57424
309	25762	57341
310	25838	57244
311	25919	57156
312	26002	57072
313	26088	56995
314	26166	56902
315	26249	56819
316	26332	56734
317	26417	56656
318	26496	56563
319	26581	56485
320	26663	56400
321	26743	56310
322	26827	56230
323	26914	56154
324	26997	56071
325	27081	55990
326	27161	55901
327	27249	55829
328	27331	55743
329	27412	55654
330	27492	55565
331	27571	55474
332	27653	55389
333	27730	55294
334	27812	55209
335	27899	55133
336	27985	55058
337	28071	54979
338	28150	54888
339	28233	54806
340	28317	54725
341	28401	54643
342	28480	54552
343	28558	54459
344	28642	54378
345	28720	54287
346	28806	54209
347	28887	54122
348	28967	54033
349	29048	53947
350	29128	53858
351	29212	53778
352	29297	53698
353	29379	53613
354	29464	53534
355	29542	53441
356	29625	53359
357	29707	53274
358	29784	53179
359	29870	53102
360	29947	53009
361	30031	52927
362	30114	52846
363	30196	52761
364	30277	52674
365	30365	52599
366	30446	52513
367	30526	52426
368	30606	52337
369	30685	52247
370	30769	52167
371	30847	52076
372	30931	51995
373	31012	51907
374	31094	51824
375	31181	51747
376	31261	51659
377	31346	51581
378	31424	51490
379	31503	51401
380	31592	51326
381	31674	51242
382	31757	51160
383	31839	51076
384	31920	50990
385	32006	50911
386	32088	50827
387	32165	50735
388	32247	50650
389	32328	50564
390	32414	50487
391	32495	50401
392	32579	50320
393	32655	50227
394	32735	50138
395	32818	50056
396	32901	49973
397	32979	49884
398	33057	49793
399	33144	49717
400	33233	49642
401	33315	49558
402	33396	49473
403	33482	49394
404	33566	49313
405	33651	49233
406	33736	49154
407	33821	49073
408	33902	48988
409	33983	48903
410	34068	48822
411	34147	48735
412	34232	48654
413	34315	48571
414	34395	48485
415	34475	48397
416	34552	48307
417	34634	48223
418	34716	48138
419	34801	48059
420	34883	47975
421	34961	47885
422	35040	47797
423	35119	47708
424	35198	47622
425	35284	47543
426	35373	47467
427	35453	47382
428	35538	47301
429	35619	47216
430	35701	47133
431	35781	47046
432	35863	46961
433	35947	46881
434	36028	46795
435	36104	46704
436	36186	46620
437	36268	46535
438	36349	46451
439	36428	46364
440	36511	46281
441	36598	46203
442	36677	46115
443	36763	46037
444	36843	45950
445	36928	45870
446	37008	45784
447	37090	45701
448	37176	45621
449	37260	45540
450	37340	45454
451	37425	45374
452	37511	45294
453	37593	45211
454	37673	45125
455	37755	45041
456	37839	44959
457	37924	44879
458	38005	44795
459	38087	44710
460	38168	44626
461	38247	44538
462	38331	44457
463	38412	44372
464	38493	44288
465	38573	44202
466	38653	44116
467	38734	44031
468	38813	43944
469	38898	43864
470	38976	43775
471	39054	43687
472	39140	43609
473	39223	43526
474	39305	43442
475	39385	43357
476	39472	43279
477	39575	43218
478	39659	43136
479	39736	43048
480	39820	42966
481	39905	42886
482	39986	42801
483	40069	42718
484	40147	42631
485	40230	42548
486	40310	42462
487	40390	42376
488	40469	42290
489	40553	42208
490	40633	42122
491	40719	42043
492	40802	41961
493	40884	41877
494	40963	41790
495	41043	41705
496	41130	41626
497	41213	41544
498	41293	41459
499	41371	41371
500	41453	41287
501	41537	41206
502	41616	41119
503	41696	41034
504	41776	40949
505	41855	40862
506	41940	40781
507	41972	40650
508	42055	40568
509	42136	40483
510	42220	40402
511	42300	40317
512	42377	40230
513	42456	40144
514	42537	40059
515	42619	39976
516	42699	39891
517	42779	39806
518	42858	39720
519	42940	39637
520	43021	39553
521	43105	39472
522	43184	39385
523	43269	39305
524	43345	39217
525	43432	39139
526	43514	39055
527	43597	38973
528	43675	38887
529	43757	38803
530	43835	38717
531	43920	38636
532	43999	38551
533	44079	38466
534	44160	38382
535	44243	38300
536	44328	38220
537	44410	38136
538	44491	38053
539	44568	37966
540	44652	37884
541	44733	37801
542	44814	37716
543	44895	37632
544	44972	37545
545	45056	37464
546	45138	37381
547	45220	37298
548	45303	37216
549	45382	37131
550	45465	37049
551	45548	36966
552	45628	36882
553	45713	36801
554	45792	36716
555	45876	36635
556	45958	36552
557	46043	36471
558	46124	36388
559	46205	36304
560	46293	36226
561	46374	36142
562	46454	36058
563	46535	35974
564	46618	35891
565	46703	35811
566	46781	35725
567	46866	35644
568	46948	35562
569	47031	35479
570	47113	35397
571	47167	35292
572	47244	35206
573	47326	35123
574	47411	35043
575	47493	34960
576	47574	34876
577	47659	34796
578	47743	34714
579	47832	34637
580	47916	34555
581	47996	34471
582	48075	34386
583	48155	34302
584	48235	34218
585	48314	34133
586	48396	34050
587	48476	33966
588	48557	33883
589	48636	33798
590	48717	33715
591	48801	33633
592	48885	33552
593	48962	33465
594	49045	33384
595	49129	33302
596	49208	33218
597	49288	33133
598	49372	33052
599	49458	32972
600	49542	32890
601	49624	32808
602	49705	32725
603	49786	32641
604	49869	32559
605	49952	32477
606	50036	32395
607	50127	32318
608	50209	32236
609	50291	32153
610	50372	32070
611	50453	31987
612	50532	31902
613	50614	31819
614	50694	31735
615	50776	31652
616	50856	31569
617	50933	31483
618	51013	31399
619	51097	31317
620	51178	31234
621	51255	31148
622	51338	31067
623	51422	30985
624	51505	30903
625	51585	30819
626	51665	30735
627	51748	30653
628	51828	30569
629	51913	30488
630	51991	30404
631	52070	30319
632	52149	30235
633	52231	30152
634	52313	30069
635	52394	29986
636	52471	29901
637	52555	29819
638	52642	29740
639	52721	29655
640	52800	29571
641	52883	29489
642	52964	29406
643	53050	29325
644	53128	29241
645	53208	29157
646	53263	29060
647	53346	28978
648	53431	28897
649	53512	28814
650	53596	28732
651	53682	28652
652	53765	28570
653	53846	28487
654	53926	28404
655	54005	28319
656	54045	28215
657	54126	28132
658	54209	28050
659	54289	27967
660	54372	27885
661	54456	27804
662	54539	27722
663	54622	27640
664	54700	27555
665	54781	27473
666	54866	27392
667	54949	27310
668	55030	27227
669	55114	27145
670	55197	27064
671	55278	26981
672	55361	26899
673	55445	26817
674	55529	26736
675	55610	26653
676	55691	26570
677	55773	26488
678	55854	26405
679	55931	26320
680	56016	26239
681	56102	26159
682	56183	26076
683	56263	25992
684	56345	25910
685	56431	25830
686	56512	25747
687	56593	25664
688	56678	25583
689	56758	25500
690	56838	25416
691	56918	25333
692	57000	25251
693	57081	25168
694	57160	25084
695	57241	25001
696	57318	24917
697	57403	24836
698	57486	24754
699	57565	24670
700	57644	24587
701	57724	24504
702	57805	24421
703	57888	24339
704	57972	24258
705	58055	24176
706	58134	24092
707	58216	24010
708	58299	23928
709	58382	23846
710	58462	23763
711	58549	23682
712	58636	23602
713	58715	23519
714	58794	23435
715	58874	23352
716	58960	23271
717	59037	23187
718	59121	23106
719	59204	23023
720	59286	22941
721	59372	22860
722	59457	22779
723	59534	22695
724	59614	22612
725	59692	22528
726	59774	22446
727	59858	22364
728	59941	22282
729	60019	22198
730	60105	22118
731	60189	22036
732	60271	21954
733	60352	21871
734	60436	21789
735	60515	21706
736	60601	21625
737	60680	21542
738	60760	21459
739	60843	21377
740	60927	21295
741	61012	21214
742	61094	21132
743	61177	21050
744	61253	20965
745	61341	20885
746	61422	20803
747	61503	20720
748	61583	20637
749	61661	20553
750	61747	20472
751	61831	20391
752	61911	20308
753	61996	20226
754	62078	20144
755	62172	20066
756	62248	19982
757	62326	19898
758	62404	19814
759	62486	19732
760	62572	19651
761	62652	19568
762	62735	19486
763	62813	19403
764	62888	19318
765	62983	19240
766	63065	19157
767	63146	19075
768	63227	18993
769	63312	18911
770	63393	18828
771	63475	18746
772	63561	18665
773	63646	18584
774	63729	18502
775	63812	18420
776	63895	18338
777	63976	18255
778	64059	18173
779	64140	18090
780	64218	18007
781	64297	17924
782	64381	17842
783	64468	17761
784	64560	17682
785	64643	17600
786	64726	17517
787	64807	17435
788	64887	17352
789	64970	17270
790	65052	17188
791	65129	17104
792	65209	17021
793	65288	16938
794	65371	16856
795	65455	16774
796	65536	16692
797	65577	16599
798	65659	16517
799	65743	16435
800	65825	16353
801	65905	16271
802	65984	16187
803	66067	16106
804	66148	16023
805	66228	15940
806	66309	15858
807	66386	15775
808	66464	15691
809	66547	15610
810	66629	15527
811	66711	15445
812	66793	15363
813	66877	15281
814	66961	15199
815	67040	15116
816	67120	15034
817	67201	14951
818	67287	14870
819	67372	14789
820	67455	14707
821	67539	14625
822	67621	14543
823	67704	14461
824	67787	14379
825	67874	14298
826	67957	14216
827	68041	14134
828	68123	14051
829	68203	13969
830	68285	13887
831	68362	13803
832	68447	13722
833	68531	13640
834	68612	13558
835	68697	13476
836	68782	13394
837	68864	13312
838	68943	13229
839	69025	13147
840	69105	13065
841	69185	12982
842	69270	12900
843	69349	12818
844	69427	12735
845	69507	12652
846	69586	12569
847	69669	12487
848	69748	12405
849	69831	12323
850	69909	12240
851	69997	12159
852	70084	12077
853	70165	11995
854	70248	11913
855	70335	11832
856	70419	11750
857	70505	11668
858	70585	11586
859	70665	11503
860	70746	11421
861	70827	11338
862	70906	11256
863	70987	11173
864	71067	11091
865	71147	11008
866	71233	10927
867	71314	10845
868	71394	10762
869	71475	10680
870	71556	10597
871	71640	10516
872	71725	10434
873	71806	10351
874	71887	10269
875	71970	10187
876	72051	10105
877	72132	10023
878	72212	9940
879	72292	9858
880	72379	9776
881	72461	9694
882	72544	9612
883	72627	9530
884	72704	9447
885	72787	9365
886	72870	9283
887	72953	9201
888	73034	9119
889	73116	9036
890	73194	8954
891	73277	8872
892	73358	8789
893	73435	8707
894	73515	8624
895	73596	8542
896	73680	8460
897	73761	8378
898	73842	8296
899	73922	8213
900	74005	8131
901	74089	8049
902	74171	7967
903	74252	7885
904	74337	7803
905	74421	7721
906	74502	7639
907	74581	7556
908	74660	7474
909	74741	7392
910	74825	7310
911	74904	7227
912	74985	7145
913	75068	7063
914	75152	6981
915	75236	6899
916	75316	6817
917	75391	6734
918	75471	6651
919	75553	6569
920	75637	6487
921	75717	6405
922	75793	6322
923	75871	6240
924	75954	6158
925	76039	6076
926	76117	5994
927	76198	5911
928	76276	5829
929	76355	5747
930	76439	5665
931	76522	5583
932	76603	5500
933	76688	5419
934	76769	5336
935	76852	5254
936	76932	5172
937	77011	5090
938	77092	5008
939	77177	4926
940	77261	4844
941	77349	4762
942	77430	4680
943	77509	4598
944	77589	4515
945	77671	4433
946	77749	4351
947	77833	4269
948	77914	4187
949	78001	4105
950	78083	4023
951	78161	3940
952	78245	3858
953	78335	3777
954	78420	3695
955	78503	3613
956	78582	3530
957	78663	3448
958	78748	3366
959	78830	3284
960	78914	3202
961	78995	3120
962	79080	3038
963	79165	2956
964	79245	2874
965	79323	2791
966	79408	2709
967	79489	2627
968	79572	2545
969	79651	2463
970	79731	2381
971	79816	2299
972	79894	2217
973	79980	2135
974	80060	2052
975	80134	1970
976	80215	1888
977	80293	1806
978	80376	1724
979	80458	1642
980	80539	1559
981	80622	1477
982	80698	1395
983	80783	1313
984	80867	1231
985	80952	1149
986	81037	1067
987	81122	985
988	81203	903
989	81286	821
990	81368	738
991	81445	656
992	81527	574
993	81609	492
994	81644	410
995	81725	328
996	81806	246
997	81886	164
998	81971	82
999	82054	0
