iter	Accuracy	MultiClass
265	0.9608197709	-0.2034719215
266	0.9617239301	-0.2023761368
267	0.9611211573	-0.2019689516
268	0.9605183846	-0.2012322698
269	0.9623267028	-0.2004652262
270	0.9626280892	-0.1996071252
271	0.9623267028	-0.1991974277
272	0.9623267028	-0.1987350342
273	0.963230862	-0.1981118587
274	0.963230862	-0.1975398498
275	0.9635322483	-0.1970091665
276	0.963230862	-0.1965338717
277	0.9629294756	-0.196280153
278	0.9635322483	-0.1959213033
279	0.9626280892	-0.1956654673
280	0.9638336347	-0.1948863633
281	0.9638336347	-0.1940084416
282	0.9644364075	-0.1937307602
283	0.9647377939	-0.1927948125
284	0.9647377939	-0.1922772842
285	0.9644364075	-0.1920691188
286	0.9644364075	-0.1913733801
287	0.9647377939	-0.1910116351
288	0.9650391802	-0.1907772981
289	0.9647377939	-0.1900956244
290	0.9650391802	-0.1894863487
291	0.9650391802	-0.1888411335
292	0.9653405666	-0.1881582637
293	0.9665461121	-0.1875924333
294	0.9677516576	-0.1869995101
295	0.9686558168	-0.1856839964
296	0.9689572031	-0.1853750109
297	0.9695599759	-0.1851670002
298	0.9686558168	-0.1847539757
299	0.9689572031	-0.1838763735
300	0.9686558168	-0.1829433149
301	0.9695599759	-0.1824445107
302	0.9701627486	-0.1815262864
303	0.9716696805	-0.1810295801
304	0.9701627486	-0.1805511944
305	0.9707655214	-0.1800732459
306	0.9716696805	-0.1796786681
307	0.9713682942	-0.1792407251
308	0.9722724533	-0.1788050332
309	0.9722724533	-0.1782851887
310	0.9725738397	-0.1779055182
311	0.9719710669	-0.1771737527
312	0.972875226	-0.1764446856
313	0.9734779988	-0.1752912268
314	0.9740807715	-0.1748392448
315	0.9737793852	-0.1739726307
316	0.9743821579	-0.1735864712
317	0.9743821579	-0.1730124601
318	0.9743821579	-0.1727889751
319	0.9740807715	-0.1723089164
320	0.9743821579	-0.1713572973
321	0.9755877034	-0.1709580405
322	0.9749849307	-0.1706535451
323	0.9755877034	-0.1702152334
324	0.9761904762	-0.1697830015
325	0.9758890898	-0.1691787477
326	0.9758890898	-0.1689308468
327	0.9764918626	-0.1679433852
328	0.9761904762	-0.1676583234
329	0.9764918626	-0.1673489039
330	0.9764918626	-0.1668397697
331	0.9764918626	-0.1666192968
332	0.9764918626	-0.16618559
333	0.9758890898	-0.1659626228
334	0.9764918626	-0.1655146166
335	0.9758890898	-0.1647440581
336	0.9761904762	-0.163833626
